Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,Month,Quarter,Profit_Margin_%
Foot Locker,1128299,2021-06-24,Southeast,Virginia,Richmond,Men's Street Footwear,53.0,233.0,1235.0,580.0,Online,2021,6,2,46.963562753036435
Sports Direct,1197831,2021-08-18,South,Alabama,Birmingham,Women's Apparel,26.0,120.0,312.0,206.0,Outlet,2021,8,3,66.02564102564102
Amazon,1185732,2021-06-11,Midwest,Ohio,Columbus,Women's Apparel,64.0,196.0,1254.0,778.0,Online,2021,6,2,62.0414673046252
Foot Locker,1128299,2021-10-23,West,Arizona,Phoenix,Women's Street Footwear,45.0,325.0,14625.0,5119.0,Online,2021,10,4,35.001709401709405
West Gear,1128299,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60.0,875.0,52500.0,7875.0,Outlet,2021,1,1,15.0
Sports Direct,1185732,2021-04-16,Midwest,Michigan,Detroit,Women's Athletic Footwear,35.0,375.0,13125.0,4594.0,In-store,2021,4,2,35.00190476190476
Kohl's,1185732,2021-06-12,West,Wyoming,Cheyenne,Men's Apparel,49.0,135.0,662.0,291.0,Online,2021,6,2,43.957703927492446
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Men's Apparel,56.0,41.0,230.0,85.0,Online,2021,4,2,36.95652173913043
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Men's Apparel,49.0,36.0,176.0,74.0,Online,2021,5,2,42.04545454545455
Amazon,1185732,2021-08-18,Northeast,New Hampshire,Manchester,Women's Apparel,70.0,425.0,29750.0,10413.0,Outlet,2021,8,3,35.00168067226891
Amazon,1185732,2021-07-10,Northeast,Vermont,Burlington,Men's Apparel,60.0,325.0,19500.0,6825.0,In-store,2021,7,3,35.0
Foot Locker,1185732,2021-11-06,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43.0,8.0,34.0,18.0,Online,2021,11,4,52.94117647058824
Sports Direct,1197831,2021-08-29,South,Alabama,Birmingham,Men's Apparel,50.0,400.0,20000.0,8000.0,Outlet,2021,8,3,40.0
Amazon,1185732,2021-09-17,Northeast,Maine,Portland,Women's Apparel,60.0,225.0,13500.0,5400.0,Outlet,2021,9,3,40.0
Foot Locker,1185732,2021-11-11,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,27.0,51.0,138.0,58.0,Outlet,2021,11,4,42.028985507246375
Amazon,1185732,2021-06-12,Northeast,Vermont,Burlington,Women's Athletic Footwear,47.0,90.0,423.0,190.0,Online,2021,6,2,44.91725768321513
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Apparel,38.0,156.0,593.0,237.0,Online,2021,1,1,39.96627318718381
Foot Locker,1128299,2021-09-24,West,Arizona,Phoenix,Women's Apparel,60.0,425.0,25500.0,6375.0,Online,2021,9,3,25.0
Amazon,1185732,2021-06-11,Midwest,Ohio,Columbus,Women's Apparel,70.0,675.0,47250.0,23625.0,Online,2021,6,2,50.0
Kohl's,1189833,2021-05-05,West,California,Los Angeles,Men's Apparel,60.0,675.0,40500.0,22275.0,Outlet,2021,5,2,55.00000000000001
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Women's Street Footwear,50.0,170.0,8500.0,2975.0,In-store,2021,11,4,35.0
Sports Direct,1185732,2021-01-17,Northeast,Rhode Island,Providence,Men's Street Footwear,40.0,450.0,18000.0,5400.0,In-store,2021,1,1,30.0
Sports Direct,1197831,2021-10-21,South,Texas,Dallas,Women's Apparel,70.0,775.0,54250.0,29838.0,Outlet,2021,10,4,55.00092165898618
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,42.0,72.0,302.0,145.0,Online,2021,7,3,48.01324503311258
West Gear,1197831,2021-05-19,South,Oklahoma,Oklahoma City,Men's Street Footwear,28.0,179.0,501.0,216.0,Outlet,2021,5,2,43.11377245508982
Sports Direct,1185732,2021-06-05,Northeast,Connecticut,Hartford,Men's Street Footwear,40.0,206.0,824.0,387.0,Outlet,2021,6,2,46.96601941747573
Foot Locker,1128299,2021-10-24,Southeast,Virginia,Richmond,Women's Street Footwear,39.0,119.0,464.0,195.0,Outlet,2021,10,4,42.025862068965516
Kohl's,1128299,2021-01-26,West,Arizona,Phoenix,Men's Apparel,50.0,275.0,13750.0,4125.0,Online,2021,1,1,30.0
Sports Direct,1197831,2021-10-11,South,Alabama,Birmingham,Women's Apparel,70.0,750.0,52500.0,34125.0,Outlet,2021,10,4,65.0
Amazon,1185732,2021-02-12,Northeast,Vermont,Burlington,Women's Athletic Footwear,36.0,45.0,162.0,75.0,Online,2021,2,1,46.2962962962963
Foot Locker,1185732,2021-04-06,Midwest,Iowa,Des Moines,Men's Apparel,60.0,125.0,7500.0,3750.0,In-store,2021,4,2,50.0
Sports Direct,1197831,2021-10-15,South,Texas,Dallas,Women's Apparel,67.0,176.0,1179.0,766.0,Online,2021,10,4,64.97031382527567
West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Men's Street Footwear,29.0,117.0,339.0,153.0,Online,2021,2,1,45.13274336283185
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Men's Street Footwear,36.0,131.0,472.0,236.0,Online,2021,4,2,50.0
Foot Locker,1185732,2021-09-06,Northeast,Rhode Island,Providence,Women's Street Footwear,36.0,38.0,137.0,70.0,Online,2021,9,3,51.09489051094891
Foot Locker,1185732,2021-06-09,Midwest,Nebraska,Omaha,Men's Athletic Footwear,35.0,75.0,2625.0,919.0,Outlet,2021,6,2,35.009523809523806
Sports Direct,1197831,2021-04-15,South,Tennessee,Knoxville,Men's Street Footwear,29.0,272.0,789.0,394.0,Outlet,2021,4,2,49.93662864385298
Sports Direct,1185732,2021-10-17,Midwest,Michigan,Detroit,Women's Apparel,52.0,137.0,712.0,499.0,Online,2021,10,4,70.08426966292134
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Women's Apparel,53.0,81.0,429.0,185.0,Online,2021,8,3,43.12354312354312
Sports Direct,1197831,2021-08-12,Midwest,Illinois,Chicago,Men's Athletic Footwear,30.0,725.0,21750.0,6525.0,Outlet,2021,8,3,30.0
Amazon,1185732,2021-03-20,West,Alaska,Anchorage,Women's Apparel,53.0,72.0,382.0,153.0,Online,2021,3,1,40.05235602094241
Kohl's,1197831,2021-12-19,South,Oklahoma,Oklahoma City,Women's Street Footwear,60.0,375.0,22500.0,9000.0,Online,2021,12,4,40.0
Foot Locker,1128299,2021-10-23,West,Arizona,Phoenix,Women's Athletic Footwear,45.0,300.0,13500.0,4725.0,Online,2021,10,4,35.0
