Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1128299,2021-06-24,Southeast,Virginia,Richmond,Men's Street Footwear,$53.00 ,233,"1,235",$580 ,Online
Sports Direct,1197831,2021-08-18,South,Alabama,Birmingham,Women's Apparel,$26.00 ,120,312,$206 ,Outlet
Amazon,1185732,2021-06-11,Midwest,Ohio,Columbus,Women's Apparel,$64.00 ,196,"1,254",$778 ,Online
Foot Locker,1128299,2021-10-23,West,Arizona,Phoenix,Women's Street Footwear,$45.00 ,325,"14,625","$5,119 ",Online
West Gear,1128299,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,$60.00 ,875,"52,500","$7,875 ",Outlet
Sports Direct,1185732,2021-04-16,Midwest,Michigan,Detroit,Women's Athletic Footwear,$35.00 ,375,"13,125","$4,594 ",In-store
Kohl's,1185732,2021-06-12,West,Wyoming,Cheyenne,Men's Apparel,$49.00 ,135,662,$291 ,Online
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Men's Apparel,$56.00 ,41,230,$85 ,Online
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Men's Apparel,$49.00 ,36,176,$74 ,Online
Amazon,1185732,2021-08-18,Northeast,New Hampshire,Manchester,Women's Apparel,$70.00 ,425,"29,750","$10,413 ",Outlet
Amazon,1185732,2021-07-10,Northeast,Vermont,Burlington,Men's Apparel,$60.00 ,325,"19,500","$6,825 ",In-store
Foot Locker,1185732,2021-11-06,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,$43.00 ,8,34,$18 ,Online
Sports Direct,1197831,2021-08-29,South,Alabama,Birmingham,Men's Apparel,$50.00 ,400,"20,000","$8,000 ",Outlet
Amazon,1185732,2021-09-17,Northeast,Maine,Portland,Women's Apparel,$60.00 ,225,"13,500","$5,400 ",Outlet
Foot Locker,1185732,2021-11-11,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,$27.00 ,51,138,$58 ,Outlet
Amazon,1185732,2021-06-12,Northeast,Vermont,Burlington,Women's Athletic Footwear,$47.00 ,90,423,$190 ,Online
